Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
amitshekhariitbhu/android-interview-questions;android-interview-questions;10825;6.7;0;0.0;0.0;0.0;0.0;1.0;5.0
alibaba/vlayout;vlayout;10809;7.07;34;5.314465408805032;6.6937860650026435;72.54088050314465;367.2677247759702;7.0;14042.0
daniulive/SmarterStreaming;SmarterStreaming;10786;7.99;0;3.8488372093023258;7.169894167199961;71.55232558139535;504.7896207486065;2.0;10750.0
newbee-ltd/newbee-mall;newbee-mall;10750;4.5;0;5.033707865168539;6.210627785312122;34.91011235955056;67.79142507331234;4.0;3935.0
metersphere/metersphere;metersphere;10729;4.13;157;6.03207671957672;9.891272149468683;496.35218253968253;3843.009828546297;5.0;274632.0
square/javapoet;javapoet;10658;11.14;0;4.505050505050505;5.8488948060291435;129.84848484848484;745.3743194080796;5.0;7541.0
umano/AndroidSlidingUpPanel;AndroidSlidingUpPanel;9485;10.81;8;4.9411764705882355;6.439497498072474;132.0;362.77573691485713;4.0;2011.0
plantuml/plantuml;plantuml;9415;13.39;39;7.202014549524343;7.4460218643724625;38.21516508114158;650.7876966107239;19.0;184404.0
pockethub/PocketHub;PocketHub;9401;12.54;1;6.5754716981132075;5.32871911616763;9.04245283018868;35.168503941102216;4.0;6980.0
trinodb/trino;trino;9394;5.18;0;;;;;;
resilience4j/resilience4j;resilience4j;9358;8.81;34;7.0359947643979055;6.211321168612879;17.630235602094242;87.0099293361732;15.0;58585.0
OpenFeign/feign;feign;9233;10.74;35;4.876373626373627;6.4200001169337195;13.731684981684982;80.60987986795212;92.0;33256.0
